topo_bm_high,S_creation,net_id,topo_rand_basal,net_type,Int_realised,dyn_rand_basal,C_creation,t_val,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,dyn_bm_high,Int_init,dyn_rand_consumer
0.5,52,3,0.17272727272727273,atn,10,0.23076923076923078,0.2015532544378698,50,0.5,0.218,0.5,50,0.5,0.5,10,0.5
0.45918367346938777,52,3,0.17857142857142858,down,56,0.17307692307692307,0.07988165680473373,50,0.5,0.08996251561849229,0.37755102040816324,49,0.28846153846153844,0.3076923076923077,60,0.25
0.4807692307692308,52,4,0.11538461538461539,niche,0,0.11538461538461539,0.12721893491124261,50,0.4423076923076923,0.12721893491124261,0.19230769230769232,52,0.4230769230769231,0.46153846153846156,0,0.4230769230769231
0.5,52,4,0.12217194570135746,down_size,10,0.15384615384615385,0.1312869822485207,50,0.4807692307692308,0.1312869822485207,0.3076923076923077,52,0.2692307692307692,0.2692307692307692,10,0.2692307692307692
0.4807692307692308,52,4,0.14505494505494507,niche_down,52,0.10526315789473685,0.1220414201183432,50,0.4807692307692308,0.1220414201183432,0.4807692307692308,52,0.1301775147928994,0.14583333333333334,57,0.12435897435897436
0.5,52,4,0.11125,atn,9,0.19230769230769232,0.21227810650887574,50,0.5,0.2296,0.5,50,0.5,0.5,9,0.5
0.47959183673469385,52,4,0.17431972789115646,down,53,0.21153846153846154,0.07729289940828403,50,0.45408163265306123,0.08704706372344856,0.2619047619047619,49,0.3076923076923077,0.3269230769230769,52,0.36538461538461536
0.4423076923076923,52,5,0.1346153846153846,niche,0,0.1346153846153846,0.1279585798816568,50,0.38461538461538464,0.1279585798816568,0.18356643356643357,52,0.38461538461538464,0.34615384615384615,0,0.4423076923076923
0.29545454545454547,52,5,0.24431818181818182,down_size,18,0.38461538461538464,0.07322485207100592,50,0.4318181818181818,0.10227272727272728,0.36363636363636365,44,0.4807692307692308,0.46153846153846156,18,0.5
0.48039215686274506,52,5,0.1265389876880985,niche_down,34,0.10851648351648352,0.09578402366863906,50,0.5,0.09957708573625529,0.49346405228758167,51,0.15705128205128205,0.11263736263736264,20,0.11401098901098902
0.5,52,5,0.125,atn,6,0.19230769230769232,0.21116863905325445,50,0.48,0.2284,0.5,50,0.5,0.5,6,0.5
0.48039215686274506,52,5,0.13562091503267976,down,53,0.17307692307692307,0.08394970414201183,50,0.5,0.08727412533640908,0.26960784313725494,51,0.2692307692307692,0.16666666666666666,49,0.20192307692307693
0.4807692307692308,52,6,0.1346153846153846,niche,0,0.1346153846153846,0.1220414201183432,50,0.4519230769230769,0.1220414201183432,0.17132867132867133,52,0.40384615384615385,0.3557692307692307,0,0.34615384615384615
0.43478260869565216,52,6,0.24347826086956523,down_size,18,0.38461538461538464,0.07803254437869822,50,0.45652173913043476,0.0997164461247637,0.23043478260869565,46,0.5,0.46153846153846156,21,0.46153846153846156
0.5,52,6,0.1436887254901961,niche_down,31,0.1346153846153846,0.07507396449704141,50,0.48039215686274506,0.07804690503652441,0.4362745098039216,51,0.14423076923076922,0.15384615384615385,31,0.16346153846153846
0.5,52,6,0.14837209302325582,atn,8,0.19230769230769232,0.20229289940828402,50,0.5,0.2188,0.5,50,0.5,0.5,8,0.5
0.32352941176470584,52,6,0.13795518207282914,down,50,0.19230769230769232,0.08136094674556213,50,0.48039215686274506,0.08458285274894271,0.4019607843137255,51,0.16346153846153846,0.14835164835164835,48,0.1826923076923077
0.46153846153846156,52,7,0.17307692307692307,niche,0,0.17307692307692307,0.10835798816568047,50,0.4230769230769231,0.10835798816568047,0.25,52,0.40384615384615385,0.4230769230769231,0,0.40384615384615385
0.2906976744186046,52,7,0.22093023255813954,down_size,30,0.4230769230769231,0.07359467455621302,50,0.43023255813953487,0.10762574364521363,0.34011627906976744,43,0.5,0.5,29,0.5
0.4807692307692308,52,7,0.12271062271062272,niche_down,47,0.10961538461538461,0.06767751479289941,50,0.4807692307692308,0.06767751479289941,0.41346153846153844,52,0.14743589743589744,0.11965811965811966,46,0.12307692307692308
0.5,52,7,0.1657142857142857,atn,9,0.21153846153846154,0.20710059171597633,50,0.48,0.224,0.5,50,0.5,0.5,9,0.5
0.36,52,7,0.16857142857142857,down,62,0.25,0.07433431952662722,50,0.46,0.0804,0.33,50,0.3269230769230769,0.3076923076923077,59,0.36538461538461536
0.4423076923076923,52,8,0.21153846153846154,niche,0,0.21153846153846154,0.08838757396449703,50,0.4519230769230769,0.08838757396449703,0.23785425101214575,52,0.46153846153846156,0.4423076923076923,0,0.46153846153846156
