S_creation,net_id,topo_rand_basal,I_realised,net_type,dyn_degree_high,dyn_rand_basal,C_creation,t_val,I_creation,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,topo_degree_high,C_target,dyn_rand_consumer
52,28,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.10998033138674129,0.21153846153846154
52,28,0.24489795918367346,0,niche,0.33653846153846156,0.18076923076923077,0.10318047337278106,5000,0,0.45918367346938777,0.10870470637234486,0.37755102040816324,49,0.3076923076923077,0.423469387755102,0.10998033138674129,0.4230769230769231
52,28,0.5,0,down_rand,0.011904761904761906,0.011627906976744186,0.10983727810650888,5000,97,0.15079365079365079,0.13580246913580246,0.25,9,0.011904761904761906,0.1388888888888889,0.10998033138674129,0.011904761904761906
52,28,0.5,0,down_link,0.012195121951219513,0.011627906976744186,0.10983727810650888,5000,97,0.12222222222222222,0.12345679012345678,0.2333333333333333,9,0.012195121951219513,0.12222222222222222,0.10998033138674129,0.012195121951219513
52,28,0.1887709991158267,8,down_niche,0.21153846153846154,0.15384615384615385,0.10983727810650888,5000,64,0.49358974358974356,0.13214990138067062,0.5,39,0.10714285714285715,0.47435897435897434,0.10998033138674129,0.08791208791208792
52,28,0.2916666666666667,0,atn,0.0125,0.0125,0.11686390532544379,5000,0,0.5,0.234375,0.5,8,0.01282051282051282,0.5,0.10998033138674129,0.01282051282051282
52,29,0.4166666666666667,1,down_power,0.01282051282051282,0.012195121951219513,0.09356508875739646,5000,84,0.3333333333333333,0.13194444444444445,0.375,12,0.01282051282051282,0.21666666666666667,0.09373353147353278,0.01282051282051282
52,29,0.19954954954954957,0,metaweb,0.23076923076923078,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.09373353147353278,0.21153846153846154
52,29,0.25735294117647056,0,niche,0.11538461538461539,0.1346153846153846,0.09208579881656805,5000,0,0.3088235294117647,0.08304498269896193,0.4411764705882353,34,0.10164835164835165,0.29411764705882354,0.09373353147353278,0.09615384615384616
52,29,0.3333333333333333,0,down_rand,0.01282051282051282,0.0125,0.09356508875739646,5000,106,0.2708333333333333,0.125,0.4166666666666667,12,0.011627906976744186,0.20833333333333331,0.09373353147353278,0.01282051282051282
52,29,0.5,2,down_link,0.012195121951219513,0.011904761904761906,0.09356508875739646,5000,115,0.2,0.11,0.17500000000000002,10,0.012195121951219513,0.17500000000000002,0.09373353147353278,0.012195121951219513
52,29,0.14210526315789473,7,down_niche,0.23076923076923078,0.15384615384615385,0.09356508875739646,5000,24,0.475,0.120625,0.5,40,0.23076923076923078,0.425,0.09373353147353278,0.21153846153846154
52,29,0.13398692810457516,0,atn,0.0125,0.011904761904761906,0.1257396449704142,5000,10,0.4722222222222222,0.07947530864197531,0.4228395061728395,36,0.012195121951219513,0.4444444444444444,0.09373353147353278,0.012195121951219513
52,30,0.4166666666666667,1,down_power,0.012195121951219513,0.011904761904761906,0.1231508875739645,5000,65,0.20833333333333331,0.09027777777777778,0.3611111111111111,12,0.012195121951219513,0.16666666666666666,0.12332521623406666,0.012195121951219513
52,30,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,14,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.12332521623406666,0.23076923076923078
52,30,0.275,0,niche,0.23076923076923078,0.1282051282051282,0.11538461538461539,5000,0,0.425,0.121875,0.45,40,0.23076923076923078,0.375,0.12332521623406666,0.21153846153846154
52,30,0.42307692307692313,3,down_rand,0.01282051282051282,0.0125,0.1231508875739645,5000,74,0.21794871794871795,0.10650887573964497,0.3942307692307693,13,0.01282051282051282,0.19230769230769232,0.12332521623406666,0.01282051282051282
52,30,0.5,0,down_link,0.011904761904761906,0.011627906976744186,0.1231508875739645,5000,83,0.15079365079365079,0.12345679012345678,0.25,9,0.011904761904761906,0.12222222222222222,0.12332521623406666,0.011904761904761906
52,30,0.1989748369058714,5,down_niche,0.23076923076923078,0.15384615384615385,0.1231508875739645,5000,36,0.5,0.16362308254200147,0.5,37,0.23076923076923078,0.5,0.12332521623406666,0.21153846153846154
52,30,0.43333333333333335,0,atn,0.0125,0.012195121951219513,0.1242603550295858,5000,8,0.275,0.24,0.43333333333333335,5,0.0125,0.275,0.12332521623406666,0.0125
52,31,0.5,0,down_power,0.011904761904761906,0.011627906976744186,0.11427514792899408,5000,70,0.12222222222222222,0.09876543209876543,0.20833333333333331,9,0.011904761904761906,0.12222222222222222,0.1143521716863301,0.011904761904761906
52,31,0.19954954954954957,0,metaweb,0.23076923076923078,0.15384615384615385,0.17492603550295857,5000,6,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.1143521716863301,0.21153846153846154
52,31,0.2894736842105263,0,niche,0.21153846153846154,0.11298076923076925,0.11427514792899408,5000,0,0.47368421052631576,0.12257617728531855,0.4473684210526316,38,0.21153846153846154,0.3684210526315789,0.1143521716863301,0.23076923076923078
52,31,0.3375,0,down_rand,0.01388888888888889,0.01282051282051282,0.11427514792899408,5000,83,0.4583333333333333,0.1640625,0.5,16,0.014285714285714287,0.3125,0.1143521716863301,0.014285714285714287
52,31,0.5,2,down_link,0.013157894736842106,0.0125,0.11427514792899408,5000,79,0.2857142857142857,0.11224489795918367,0.4642857142857143,14,0.012195121951219513,0.26785714285714285,0.1143521716863301,0.013157894736842106
52,31,0.1989748369058714,4,down_niche,0.21153846153846154,0.15384615384615385,0.11427514792899408,5000,15,0.5,0.16070124178232287,0.5,37,0.23076923076923078,0.5,0.1143521716863301,0.23076923076923078
52,31,0.10416666666666667,0,atn,0.013513513513513514,0.013157894736842106,0.1205621301775148,5000,13,0.475,0.078125,0.275,40,0.013513513513513514,0.475,0.1143521716863301,0.013513513513513514
52,32,0.4066666666666667,1,down_power,0.014285714285714287,0.013157894736842106,0.07951183431952663,5000,59,0.23333333333333334,0.10222222222222223,0.4166666666666667,15,0.014285714285714287,0.18888888888888888,0.07933179494949913,0.014285714285714287
