net_id,type,scenario,step,primary,secondary,total
5,dyn,degree_high,1,0.0,0.0,0.0
5,dyn,degree_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
5,dyn,degree_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
5,dyn,degree_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
5,dyn,degree_low,1,0.0,0.0,0.0
5,dyn,degree_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
5,dyn,degree_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
5,dyn,degree_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
5,dyn,vul_high,1,0.0,0.0,0.0
5,dyn,vul_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
5,dyn,vul_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
5,dyn,vul_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
5,dyn,bm_low,1,0.0,0.0,0.0
5,dyn,bm_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
5,dyn,bm_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
5,dyn,bm_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,gen_low,1,0.0,0.0,0.0
6,dyn,gen_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,gen_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,gen_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,vul_low,1,0.0,0.0,0.0
6,dyn,vul_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,vul_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,vul_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,rand_basal,1,0.0,0.0,0.0
6,dyn,rand_basal,2,0.018518518518518517,0.9444444444444444,0.9629629629629629
6,dyn,rand_consumer,1,0.0,0.0,0.0
6,dyn,rand_consumer,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,rand_consumer,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,rand_consumer,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,bm_high,1,0.0,0.0,0.0
6,dyn,bm_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,bm_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,bm_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,gen_high,1,0.0,0.0,0.0
6,dyn,gen_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,gen_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,gen_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,degree_high,1,0.0,0.0,0.0
6,dyn,degree_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,degree_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,degree_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,degree_low,1,0.0,0.0,0.0
6,dyn,degree_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,degree_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,degree_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,vul_high,1,0.0,0.0,0.0
6,dyn,vul_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,vul_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,vul_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
6,dyn,bm_low,1,0.0,0.0,0.0
6,dyn,bm_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
6,dyn,bm_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
6,dyn,bm_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
7,dyn,gen_low,1,0.0,0.0,0.0
7,dyn,gen_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
7,dyn,gen_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
7,dyn,gen_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
7,dyn,vul_low,1,0.0,0.0,0.0
7,dyn,vul_low,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
7,dyn,vul_low,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
7,dyn,vul_low,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
7,dyn,rand_basal,1,0.0,0.0,0.0
7,dyn,rand_basal,2,0.018518518518518517,0.9444444444444444,0.9629629629629629
7,dyn,rand_consumer,1,0.0,0.0,0.0
7,dyn,rand_consumer,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
7,dyn,rand_consumer,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
7,dyn,rand_consumer,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
7,dyn,bm_high,1,0.0,0.0,0.0
7,dyn,bm_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
7,dyn,bm_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
7,dyn,bm_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
7,dyn,gen_high,1,0.0,0.0,0.0
7,dyn,gen_high,2,0.018518518518518517,0.9259259259259259,0.9444444444444444
7,dyn,gen_high,3,0.037037037037037035,0.9259259259259258,0.9629629629629629
7,dyn,gen_high,4,0.05555555555555555,0.9259259259259259,0.9814814814814815
