topo_bm_high,net_id,topo_rand_basal,dyn_vul_low,dyn_gen_high,dyn_degree_high,dyn_rand_basal,topo_degree_low,S,dyn_degree_low,topo_vul_low,topo_rand_consumer,topo_gen_low,topo_bm_low,dyn_bm_low,dyn_bm_high,topo_gen_high,dyn_vul_high,dyn_gen_low,topo_degree_high,topo_vul_high,dyn_rand_consumer,C
0.5,11,0.5,0.5,0.5,0.5,0.21428571428571427,0.5,29,0.38888888888888884,0.5,0.5,0.5,0.4464285714285714,0.175,0.5,0.32857142857142857,0.38888888888888884,0.21428571428571427,0.21428571428571427,0.23214285714285712,0.5,0.17704339007545647
0.4629629629629629,12,0.28189300411522633,0.38461538461538464,0.3333333333333333,0.19230769230769232,0.3571428571428571,0.5,50,0.3571428571428571,0.5,0.5,0.5,0.5,0.16666666666666666,0.2685185185185185,0.5,0.33,0.2564102564102564,0.45138888888888884,0.42592592592592593,0.4423076923076923,0.07636710645703905
0.48148148148148145,13,0.2881944444444445,0.33870967741935487,0.24285714285714283,0.32857142857142857,0.24714285714285714,0.5,42,0.4714285714285714,0.5,0.4722222222222222,0.5,0.3333333333333333,0.37857142857142856,0.2142857142857143,0.375,0.44285714285714284,0.3203125,0.2777777777777778,0.375,0.2142857142857143,0.09450200236667136
0.5,14,0.19814814814814813,0.4629629629629629,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.4629629629629629,35,0.2727272727272727,0.5,0.42592592592592593,0.5,0.38888888888888884,0.3076923076923077,0.23148148148148145,0.4841269841269841,0.35185185185185186,0.3333333333333333,0.3847736625514403,0.38888888888888884,0.31481481481481477,0.13521472260690323
0.5,15,0.5,0.5,0.21428571428571427,0.35714285714285715,0.3125,0.5,49,0.3653846153846154,0.5,0.5,0.5,0.4305555555555556,0.3055555555555555,0.21428571428571427,0.5,0.42857142857142855,0.1527777777777778,0.5,0.5,0.5,0.12439106718336893
0.34615384615384615,16,0.2230769230769231,0.42307692307692313,0.5,0.5,0.5,0.5,42,0.41666666666666663,0.5,0.5,0.5,0.4076923076923077,0.16666666666666666,0.34615384615384615,0.5,0.5,0.47727272727272724,0.5,0.5,0.5,0.20391547468043386
0.5,17,0.19907407407407407,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.15838509316770186,0.5,36,0.5,0.5,0.3472222222222222,0.5,0.4166666666666667,0.20833333333333334,0.25,0.3472222222222222,0.17857142857142855,0.19565217391304346,0.3333333333333333,0.4166666666666667,0.3888888888888889,0.1581156323584954
0.4714285714285714,18,0.5,0.38235294117647056,0.46875,0.5,0.1375,0.5,39,0.23529411764705882,0.5,0.4714285714285714,0.5,0.45999999999999996,0.15625,0.35714285714285715,0.41785714285714287,0.4411764705882353,0.10560344827586207,0.44285714285714284,0.41428571428571426,0.5,0.2048984525233892
0.5,19,0.175,0.44047619047619047,0.25,0.25,0.2,0.5,45,0.3,0.5,0.5,0.5,0.35,0.45238095238095233,0.2976190476190476,0.5,0.5,0.45,0.4142857142857143,0.45,0.40476190476190477,0.16710935154084366
0.5,20,0.21428571428571427,0.39285714285714285,0.42857142857142855,0.39814814814814814,0.08101851851851852,0.42857142857142855,41,0.3888888888888889,0.5,0.39285714285714285,0.4196428571428571,0.35714285714285715,0.0720164609053498,0.375,0.4732142857142857,0.3,0.10294117647058823,0.375,0.3482142857142857,0.35185185185185186,0.1465212842231196
0.21726190476190474,21,0.09226190476190475,0.19565217391304346,0.3695652173913043,0.2536231884057971,0.128099173553719,0.5,59,0.22727272727272727,0.5,0.40476190476190477,0.45238095238095233,0.41666666666666663,0.16403162055335968,0.2246376811594203,0.369047619047619,0.21428571428571427,0.2727272727272727,0.30272108843537415,0.23412698412698413,0.3484848484848485,0.11457673264177082
0.4444444444444444,22,0.3111111111111111,0.42307692307692313,0.3235294117647059,0.3235294117647059,0.5,0.5,38,0.34615384615384615,0.5,0.5,0.5,0.3055555555555556,0.3888888888888889,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.22058823529411764,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14952159226438738
