net_id,type,scenario,step,primary,secondary,total,t_val
1,topo_down_power,bm_low,11,0.7692307692307693,0.23076923076923073,1.0,5000
1,topo_metaweb,rand_basal,1,0.0,0.0,0.0,5000
1,topo_metaweb,rand_basal,2,0.024390243902439025,0.0,0.024390243902439025,5000
1,topo_metaweb,rand_basal,3,0.04878048780487805,0.0,0.04878048780487805,5000
1,topo_metaweb,rand_basal,4,0.07317073170731707,0.0,0.07317073170731707,5000
1,topo_metaweb,rand_basal,5,0.0975609756097561,0.0,0.0975609756097561,5000
1,topo_metaweb,rand_basal,6,0.12195121951219512,0.0,0.12195121951219512,5000
1,topo_metaweb,rand_basal,7,0.14634146341463414,0.0,0.14634146341463414,5000
1,topo_metaweb,rand_basal,8,0.17073170731707318,0.0,0.17073170731707318,5000
1,topo_metaweb,rand_basal,9,0.1951219512195122,0.7560975609756098,0.9512195121951219,5000
1,topo_metaweb,rand_consumer,1,0.0,0.0,0.0,5000
1,topo_metaweb,rand_consumer,2,0.024390243902439025,0.0,0.024390243902439025,5000
1,topo_metaweb,rand_consumer,3,0.04878048780487805,0.0,0.04878048780487805,5000
1,topo_metaweb,rand_consumer,4,0.07317073170731707,0.0,0.07317073170731707,5000
1,topo_metaweb,rand_consumer,5,0.0975609756097561,0.0,0.0975609756097561,5000
1,topo_metaweb,rand_consumer,6,0.12195121951219512,0.0,0.12195121951219512,5000
1,topo_metaweb,rand_consumer,7,0.14634146341463414,0.0,0.14634146341463414,5000
1,topo_metaweb,rand_consumer,8,0.17073170731707318,0.0,0.17073170731707318,5000
1,topo_metaweb,rand_consumer,9,0.1951219512195122,0.0,0.1951219512195122,5000
1,topo_metaweb,rand_consumer,10,0.21951219512195122,0.0,0.21951219512195122,5000
1,topo_metaweb,rand_consumer,11,0.24390243902439024,0.0,0.24390243902439024,5000
1,topo_metaweb,rand_consumer,12,0.2682926829268293,0.0,0.2682926829268293,5000
1,topo_metaweb,rand_consumer,13,0.2926829268292683,0.0,0.2926829268292683,5000
1,topo_metaweb,rand_consumer,14,0.3170731707317073,0.0,0.3170731707317073,5000
1,topo_metaweb,rand_consumer,15,0.34146341463414637,0.0,0.34146341463414637,5000
1,topo_metaweb,rand_consumer,16,0.36585365853658536,0.0,0.36585365853658536,5000
1,topo_metaweb,rand_consumer,17,0.3902439024390244,0.0,0.3902439024390244,5000
1,topo_metaweb,rand_consumer,18,0.4146341463414634,0.0,0.4146341463414634,5000
1,topo_metaweb,rand_consumer,19,0.43902439024390244,0.0,0.43902439024390244,5000
1,topo_metaweb,rand_consumer,20,0.4634146341463415,0.0,0.4634146341463415,5000
1,topo_metaweb,rand_consumer,21,0.4878048780487805,0.0,0.4878048780487805,5000
1,topo_metaweb,rand_consumer,22,0.5121951219512195,0.0,0.5121951219512195,5000
1,topo_metaweb,rand_consumer,23,0.5365853658536586,0.0,0.5365853658536586,5000
1,topo_metaweb,rand_consumer,24,0.5609756097560976,0.0,0.5609756097560976,5000
1,topo_metaweb,rand_consumer,25,0.5853658536585366,0.024390243902439046,0.6097560975609756,5000
1,topo_metaweb,rand_consumer,26,0.6097560975609756,0.024390243902439046,0.6341463414634146,5000
1,topo_metaweb,rand_consumer,27,0.6341463414634146,0.024390243902439046,0.6585365853658537,5000
1,topo_metaweb,rand_consumer,28,0.6585365853658537,0.024390243902439046,0.6829268292682927,5000
1,topo_metaweb,rand_consumer,29,0.6829268292682927,0.024390243902438935,0.7073170731707317,5000
1,topo_metaweb,rand_consumer,30,0.7073170731707317,0.024390243902439046,0.7317073170731707,5000
1,topo_metaweb,rand_consumer,31,0.7317073170731707,0.024390243902439046,0.7560975609756098,5000
