"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Bellerophon_italicus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_jacobi","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_mojsvari","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_peregrinus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_sextensis","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_cf_triangularis","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_tommasii","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_ulrici","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_vigilii","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Coelostylina_werfensis","small","slow_moving","omnivore","epifaunal","3","hemocyanin","buffered"
"Dicosmos_cf_fastigata","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Loxonema_cf_gracile","small","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Loxonema_cf_volgense","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Loxonema_tortile","small","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Margarites_prisca","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Margarites_cf_laevigata","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Murchisonia_mazzaroti","small","slow_moving","herbivore","shallow_infaunal","1","hemocyanin","buffered"
"Murchisonia_tramontana","medium","slow_moving","herbivore","shallow_infaunal","1","hemocyanin","buffered"
"Naticopsis_cadorica","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_comelicana","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_depressa","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_pusiuncula","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_intermedia","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_operculifera","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_ovulum","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_plavensis","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_solitaria","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Naticopsis_elongata","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Omphalotrochus_taylorianus","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Pleurotomariida_indet","small","slow_moving","carnivore","epifaunal","1","hemocyanin","buffered"
"Promathildia_biseriaetuberculata","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Soleniscus_sp","medium","slow_moving","carnivore","epifaunal","1","hemocyanin","buffered"
"Stachella_bifrons","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Stachella_janus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Stachella_pseudohelix","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Trachydomia_aff_stabilei","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Trachydomia_ambigua","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Microdoma_anomala","small","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Turbonellina_montiscrucis","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Vernelia_permica","medium","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Wannerispira_sp","small","slow_moving","carnivore","epifaunal","2","hemocyanin","buffered"
"Warthia_vaceki","small","slow_moving","omnivore","epifaunal","2,3","hemocyanin","buffered"
"Worthenia_inhornata","small","slow_moving","carnivore","epifaunal","1","hemocyanin","buffered"
"Worthenia_radialis","small","slow_moving","carnivore","epifaunal","1","hemocyanin","buffered"
"Zygopleura_bachmutensis","small","slow_moving","carnivore","epifaunal","1","hemocyanin","buffered"
"Brachycycloceras_dieneri","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Foordiceras_dolomiticum","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Germanonautilus_sp","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Liroceras_gardenense","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Liroceras_sp","large","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Metacoceras_inaequiseptum","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Paralecanites_sextensis","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Paralecanites_sp_indet","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Paratirolites_sp","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Peripetoceras_comploji","large","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Peripetoceras_gigas","large","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Peripetoceras_wanneri","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tainionautilus_fugax","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tainoceras_balestense","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tainoceras_malsineri","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tainoceras_sp","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tirolonautilus_crux","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tirolonautilus_sebedinus","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Tirolonautilus_darini","medium","fast_moving","carnivore","benthopelagic","1","hemocyanin","buffered"
"Acrodus_sp_A","large","fast_moving","carnivore","benthopelagic","1","hemoglobin","buffered"
"Acrodus_sp_B","large","fast_moving","carnivore","benthopelagic","1","hemoglobin","buffered"
"Bobasatrania_antiqua","medium","fast_moving","carnivore","benthopelagic","1","hemoglobin","buffered"
"Bobasatrania_ladina","medium","fast_moving","carnivore","benthopelagic","1","hemoglobin","buffered"
"Archaeolepidotus_leonardii","medium","fast_moving","carnivore","benthopelagic","2,3","hemoglobin","buffered"
